category,lawName,ENG,KOR
문화ㆍ공보,방송통신발전 기본법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
문화ㆍ공보,방송통신발전 기본법 시행령,"(4) Deleted. <Aug. 4, 2020>",④ 삭제 <2020. 8. 4.>
문화ㆍ공보,방송통신발전 기본법 시행령,"[This Article Newly Inserted on May 31, 2016]",[본조신설 2016. 5. 31.]
문화ㆍ공보,방송통신발전 기본법 시행령,"[This Article Newly Inserted on May 31, 2016]",[본조신설 2016. 5. 31.]
문화ㆍ공보,방송통신발전 기본법 시행령,"[This Article Newly Inserted on May 31, 2016]",[본조신설 2016. 5. 31.]
문화ㆍ공보,방송통신발전 기본법 시행령,"[This Article Newly Inserted on Dec. 30, 2013]",[본조신설 2013. 12. 30.]
문화ㆍ공보,방송통신위원회의 설치 및 운영에 관한 법률,"[This Article Newly Inserted on Feb. 21, 2018]",[본조신설 2018. 2. 21.]
문화ㆍ공보,세계유산의 보존·관리 및 활용에 관한 특별법,"[This Article Newly Inserted on Dec. 8, 2020]",[본조신설 2020. 12. 8.]
문화ㆍ공보,신문 등의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,신문 등의 진흥에 관한 법률,"[This Article Newly Inserted on Feb. 3, 2016]",[본조신설 2016. 2. 3.]
문화ㆍ공보,신문 등의 진흥에 관한 법률,"[This Article Newly Inserted on Feb. 3, 2016]",[본조신설 2016. 2. 3.]
문화ㆍ공보,언론중재 및 피해구제 등에 관한 법률 시행령,"[This Article Newly Inserted by Presidential Decree No. 21663, Aug. 5, 2009]",[본조신설 2009.8.5.]
문화ㆍ공보,언론중재 및 피해구제 등에 관한 법률 시행령,"[This Article Newly Inserted by Act No. 25853, Dec. 16, 2014]",[본조신설 2014.12.16.]
문화ㆍ공보,언론중재 및 피해구제 등에 관한 법률 시행령,"[This Article Newly Inserted by Act No. 25840, Dec. 9, 2014]",[본조신설 2014.12.9.]
문화ㆍ공보,역사문화권 정비 등에 관한 특별법,1. The State;,1. 국가
문화ㆍ공보,역사문화권 정비 등에 관한 특별법,2. A local government;,2. 지방자치단체
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2021]",[본조신설 2021. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2021]",[본조신설 2021. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,1. Objectives;,1. 목적
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,2. Name;,2. 명칭
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"4. Deleted; <Jul. 16, 2013>",4. 삭제 <2013. 7. 16.>
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on Feb. 17, 2012]",[본조신설 2012. 2. 17.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on Jan. 26, 2007]",[본조신설 2007. 1. 26.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on Jan. 26, 2007]",[본조신설 2007. 1. 26.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on, Dec. 28, 2021]",[본조신설 2021. 12. 28.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,1. Korean movies;,1. 한국영화
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on Dec. 23, 2014]",[본조신설 2014. 12. 23.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on Mar. 13, 2018]",[본조신설 2018. 3. 13.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on, Dec. 28, 2021]",[본조신설 2021. 12. 28.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on, Dec. 28, 2021]",[본조신설 2021. 12. 28.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"(4) Deleted. <May 8, 2009>",④ 삭제 <2009. 5. 8.>
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on Sep. 27, 2022]",[본조신설 2022. 9. 27.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on Sep. 27, 2022]",[본조신설 2022. 9. 27.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on Sep. 27, 2022]",[본조신설 2022. 9. 27.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on Sep. 27, 2022]",[본조신설 2022. 9. 27.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on Sep. 27, 2022]",[본조신설 2022. 9. 27.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on Sep. 27, 2022]",[본조신설 2022. 9. 27.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on Sep. 27, 2022]",[본조신설 2022. 9. 27.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 8, 2009]",[본조신설 2009. 5. 8.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"(1) Deleted. <May 18, 2015>",① 삭제 <2015. 5. 18.>
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"[This Article Newly Inserted on May 18, 2015]",[본조신설 2015. 5. 18.]
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,"1. Deleted; <May 18, 2015>",1. 삭제 <2015. 5. 18.>
문화ㆍ공보,영화 및 비디오물의 진흥에 관한 법률,(2) Omitted.,② 생략
문화ㆍ공보,음악산업진흥에 관한 법률,"(3) Deleted. <Feb. 21, 2018>",③ 삭제 <2018. 2. 21.>
문화ㆍ공보,음악산업진흥에 관한 법률,"(4) Deleted. <Feb. 21, 2018>",④ 삭제 <2018. 2. 21.>
문화ㆍ공보,음악산업진흥에 관한 법률,"(5) Deleted. <Feb. 21, 2018>",⑤ 삭제 <2018. 2. 21.>
문화ㆍ공보,이스포츠(전자스포츠) 진흥에 관한 법률,"[This Article Newly Inserted on Jun. 9, 2020]",[본조신설 2020. 6. 9.]
문화ㆍ공보,인쇄문화산업 진흥법 시행령,"[This Article Newly Inserted by Presidential Decree No. 29901, Jun. 25, 2019]",[본조신설 2019. 6. 25.]
문화ㆍ공보,장애예술인 문화예술 활동 지원에 관한 법률,"[This Article Newly Inserted on Sep. 27, 2022]",[본조신설 2022. 9. 27.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Jul. 22, 2009]",[본조신설 2009. 7. 22.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Jun. 11, 2014]",[본조신설 2014. 6. 11.]
문화ㆍ공보,저작권법 시행령,"(1) Deleted. <Apr. 16, 2019>",① 삭제 <2019. 4. 16.>
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Apr. 16, 2019]",[본조신설 2019. 4. 16.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Oct. 16, 2013]",[본조신설 2013. 10. 16.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Oct. 16, 2013]",[본조신설 2013. 10. 16.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
문화ㆍ공보,저작권법 시행령,"1. Deleted; <May 26, 2020>",1. 삭제 <2020. 5. 26.>
문화ㆍ공보,저작권법 시행령,"(4) Deleted. <May 26, 2020>",④ 삭제 <2020. 5. 26.>
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Aug. 4, 2020]",[본조신설 2020. 8. 4.]
문화ㆍ공보,저작권법 시행령,1. The Commission;,1. 위원회
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Jul. 22, 2009]",[본조신설 2009. 7. 22.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Dec. 2, 2011]",[본조신설 2011. 12. 2.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Dec. 2, 2011]",[본조신설 2011. 12. 2.]
문화ㆍ공보,저작권법 시행령,1. Name;,1. 성명
문화ㆍ공보,저작권법 시행령,2. Address;,2. 주소
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Dec. 2, 2011]",[본조신설 2011. 12. 2.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Dec. 2, 2011]",[본조신설 2011. 12. 2.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Jun. 30, 2011]",[본조신설 2011. 6. 30.]
문화ㆍ공보,저작권법 시행령,"(3) Deleted. <Aug. 4, 2020>",③ 삭제 <2020. 8. 4.>
문화ㆍ공보,저작권법 시행령,"(3) Deleted. <Aug. 4, 2020>",③ 삭제 <2020. 8. 4.>
문화ㆍ공보,저작권법 시행령,"1. Deleted; <May 26, 2020>",1. 삭제 <2020. 5. 26.>
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Sep. 21, 2016]",[본조신설 2016. 9. 21.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on May 26, 2020]",[본조신설 2020. 5. 26.]
문화ㆍ공보,저작권법 시행령,"(3) Deleted. <Jul. 4, 2012>",③ 삭제 <2012. 7. 4.>
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Jul. 4, 2012]",[본조신설 2012. 7. 4.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Jul. 4, 2012]",[본조신설 2012. 7. 4.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Jul. 22, 2009]",[본조신설 2009. 7. 22.]
문화ㆍ공보,저작권법 시행령,"1. Deleted; <Aug. 4, 2020>",1. 삭제 <2020. 8. 4.>
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Sep. 21, 2016]",[본조신설 2016. 9. 21.]
문화ㆍ공보,저작권법 시행령,"(1) Deleted. <May 26, 2020>",① 삭제 <2020. 5. 26.>
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Sep. 21, 2016]",[본조신설 2016. 9. 21.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Sep. 21, 2016]",[본조신설 2016. 9. 21.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Sep. 21, 2016]",[본조신설 2016. 9. 21.]
문화ㆍ공보,저작권법 시행령,"3. Deleted; <Aug. 4, 2020>",3. 삭제 <2020. 8. 4.>
문화ㆍ공보,저작권법 시행령,"(2) Deleted. <Aug. 4, 2020>",② 삭제 <2020. 8. 4.>
문화ㆍ공보,저작권법 시행령,1. The Protection Agency;,1. 보호원
문화ㆍ공보,저작권법 시행령,"2. Deleted; <Sep. 21, 2016>",2. 삭제 <2016. 9. 21.>
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Jul. 22, 2009]",[본조신설 2009. 7. 22.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Jul. 22, 2009]",[본조신설 2009. 7. 22.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Jul. 22, 2009]",[본조신설 2009. 7. 22.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Jul. 22, 2009]",[본조신설 2009. 7. 22.]
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Jul. 22, 2009]",[본조신설 2009. 7. 22.]
문화ㆍ공보,저작권법 시행령,1. The Commission;,1. 위원회
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Nov. 4, 2014]",[본조신설 2014. 11. 4.]
문화ㆍ공보,저작권법 시행령,"2. Deleted; <Aug. 4, 2020>",2. 삭제 <2020. 8. 4.>
문화ㆍ공보,저작권법 시행령,"[This Article Newly Inserted on Nov. 4, 2014]",[본조신설 2014. 11. 4.]
문화ㆍ공보,전통무예진흥법,"[This Article Newly Inserted on Nov. 28, 2017]",[본조신설 2017. 11. 28.]
문화ㆍ공보,전통무예진흥법,"[This Article Newly Inserted on Jun. 9, 2020]",[본조신설 2020. 6. 9.]
문화ㆍ공보,전통사찰의 보존 및 지원에 관한 법률,"[This Article Newly Inserted on Feb. 17, 2012]",[본조신설 2012. 2. 17.]
문화ㆍ공보,전통사찰의 보존 및 지원에 관한 법률,"[This Article Newly Inserted on Feb. 17, 2012]",[본조신설 2012. 2. 17.]
문화ㆍ공보,전통사찰의 보존 및 지원에 관한 법률,"[This Article Newly Inserted on Feb. 17, 2012]",[본조신설 2012. 2. 17.]
문화ㆍ공보,전통사찰의 보존 및 지원에 관한 법률,"[This Article Newly Inserted on Mar. 5, 2009]",[본조신설 2009. 3. 5.]
문화ㆍ공보,전통사찰의 보존 및 지원에 관한 법률,"[This Article Newly Inserted on Feb. 17, 2012]",[본조신설 2012. 2. 17.]
문화ㆍ공보,전통사찰의 보존 및 지원에 관한 법률,"[This Article Newly Inserted on Feb. 17, 2012]",[본조신설 2012. 2. 17.]
문화ㆍ공보,지방문화원진흥법,"1. Deleted; <Jul. 9, 2020>",1. 삭제 <2020. 6. 9.>
문화ㆍ공보,지방문화원진흥법,"2. Deleted; <Jul. 9, 2020>",2. 삭제 <2020. 6. 9.>
문화ㆍ공보,지방문화원진흥법,"3. Deleted; <Jul. 9, 2020>",3. 삭제 <2020. 6. 9.>
문화ㆍ공보,지방문화원진흥법,"4. Deleted. <Jul. 9, 2020>",4. 삭제 <2020. 6. 9.>
문화ㆍ공보,지방문화원진흥법,"[This Article Newly Inserted on Jun. 9, 2020]",[본조신설 2020. 6. 9.]
문화ㆍ공보,지방문화원진흥법,"[This Article Newly Inserted on Nov. 28, 2017]",[본조신설 2017. 11. 28.]
문화ㆍ공보,지방문화원진흥법,"(3) Deleted. <Jul. 21, 2011>",③ 삭제 <2011. 7. 21.>
문화ㆍ공보,지방문화원진흥법,"(4) Deleted. <Jul. 21, 2011>",④ 삭제 <2011. 7. 21.>
문화ㆍ공보,지방문화원진흥법,"(5) Deleted. <Jul. 21, 2011>",⑤ 삭제 <2011. 7. 21.>
문화ㆍ공보,지상파 텔레비전방송의 디지털 전환과 디지털방송의 활성화에 관한 특별법,"[This Article Newly Inserted by Act No. 9638, Apr. 22, 2009]",[본조신설 2009.4.22]
문화ㆍ공보,지상파 텔레비전방송의 디지털 전환과 디지털방송의 활성화에 관한 특별법,"[This Article Newly Inserted by Act No. 9638, Apr. 22, 2009]",[본조신설 2009.4.22]
문화ㆍ공보,지상파 텔레비전방송의 디지털 전환과 디지털방송의 활성화에 관한 특별법,(2) Omitted.,② 생략
문화ㆍ공보,지역문화진흥법,"[This Article Newly Inserted on Dec. 22, 2020]",[본조신설 2020. 12. 22.]
문화ㆍ공보,지역문화진흥법,"[This Article Newly Inserted on Dec. 22, 2020]",[본조신설 2020. 12. 22.]
문화ㆍ공보,지역문화진흥법,"[This Article Newly Inserted on Dec. 22, 2020]",[본조신설 2020. 12. 22.]
문화ㆍ공보,지역문화진흥법,"[This Article Newly Inserted on Dec. 22, 2020]",[본조신설 2020. 12. 22.]
문화ㆍ공보,지역문화진흥법,"[This Article Newly Inserted on Dec. 22, 2020]",[본조신설 2020. 12. 22.]
문화ㆍ공보,지역문화진흥법,"[This Article Newly Inserted on May 18, 2021]",[본조신설 2021. 5. 18.]
문화ㆍ공보,지역문화진흥법,"[This Article Newly Inserted on Dec. 22, 2020]",[본조신설 2020. 12. 22.]
문화ㆍ공보,지역문화진흥법 시행령,"[This Article Newly Inserted on Jun. 22, 2021]",[본조신설 2021. 6. 22.]
문화ㆍ공보,지역문화진흥법 시행령,"[This Article Newly Inserted on Jun. 22, 2021]",[본조신설 2021. 6. 22.]
문화ㆍ공보,지역문화진흥법 시행령,"[This Article Newly Inserted on Jun. 22, 2021]",[본조신설 2021. 6. 22.]
문화ㆍ공보,지역문화진흥법 시행령,"[This Article Newly Inserted on Jun. 22, 2021]",[본조신설 2021. 6. 22.]
문화ㆍ공보,지역문화진흥법 시행령,"[This Article Newly Inserted on Jun. 22, 2021]",[본조신설 2021. 6. 22.]
문화ㆍ공보,지역문화진흥법 시행령,"[This Article Newly Inserted on May 10, 2016]",[본조신설 2016. 5. 10.]
문화ㆍ공보,지역문화진흥법 시행령,"(1) Deleted. <Jul. 19, 2022>",① 삭제 <2022. 7. 19.>
문화ㆍ공보,지역문화진흥법 시행령,"(2) Deleted. <Jul. 19, 2022>",② 삭제 <2022. 7. 19.>
문화ㆍ공보,지역문화진흥법 시행령,"(3) Deleted. <Jul. 19, 2022>",③ 삭제 <2022. 7. 19.>
문화ㆍ공보,지역신문발전지원 특별법 시행령,"[This Article Newly Inserted on Jul. 4, 2012]",[본조신설 2012. 7. 4.]
문화ㆍ공보,지역신문발전지원 특별법 시행령,"[This Article Newly Inserted on Jul. 4, 2012]",[본조신설 2012. 7. 4.]
문화ㆍ공보,지역신문발전지원 특별법 시행령,"[This Article Newly Inserted on Sep. 20, 2010]",[본조신설 2010. 9. 20.]
문화ㆍ공보,지역신문발전지원 특별법 시행령,"[This Article Newly Inserted on Dec. 16, 2014]",[본조신설 2014. 12. 16.]
문화ㆍ공보,출판문화산업 진흥법,"[This Article Newly Inserted on Jan. 26, 2012]",[본조신설 2012. 1. 26.]
문화ㆍ공보,출판문화산업 진흥법,1. Purpose;,1. 목적
문화ㆍ공보,출판문화산업 진흥법,2. Name;,2. 명칭
문화ㆍ공보,출판문화산업 진흥법,"[This Article Newly Inserted on Jan. 26, 2012]",[본조신설 2012. 1. 26.]
문화ㆍ공보,출판문화산업 진흥법,"[This Article Newly Inserted on Jan. 26, 2012]",[본조신설 2012. 1. 26.]
문화ㆍ공보,출판문화산업 진흥법,"4. Deleted; <Jan. 26, 2012>",4. 삭제 <2012. 1. 26.>
문화ㆍ공보,출판문화산업 진흥법,"[This Article Newly Inserted on Jan. 26, 2012]",[본조신설 2012. 1. 26.]
문화ㆍ공보,출판문화산업 진흥법,"[This Article Newly Inserted on Mar. 17, 2010]",[본조신설 2010. 3. 17.]
문화ㆍ공보,출판문화산업 진흥법,"1. Deleted; <May 20, 2014>",1. 삭제 <2014. 5. 20.>
문화ㆍ공보,출판문화산업 진흥법,"4. Deleted; <May 20, 2014>",4. 삭제 <2014. 5. 20.>
문화ㆍ공보,출판문화산업 진흥법,1. Goods;,1. 물품
문화ㆍ공보,출판문화산업 진흥법,3. Discount coupons;,3. 할인권
문화ㆍ공보,출판문화산업 진흥법,4. Gift cards;,4. 상품권
문화ㆍ공보,출판문화산업 진흥법,"[This Article Newly Inserted on Jan. 28, 2014]",[본조신설 2014. 1. 28.]
문화ㆍ공보,출판문화산업 진흥법,"[This Article Newly Inserted on May 20, 2014]",[본조신설 2014. 5. 20.]
문화ㆍ공보,출판문화산업 진흥법,"[This Article Newly Inserted on Jan. 28, 2014]",[본조신설 2014. 1. 28.]
문화ㆍ공보,출판문화산업 진흥법,"[This Article Newly Inserted on Jan. 28, 2014]",[본조신설 2014. 1. 28.]
문화ㆍ공보,출판문화산업 진흥법,"2. Deleted; <Jan. 26, 2012>",2. 삭제 <2012. 1. 26.>
문화ㆍ공보,출판문화산업 진흥법,"3. Deleted; <Jan. 26, 2012>",3. 삭제 <2012. 1. 26.>
문화ㆍ공보,출판문화산업 진흥법,"4. Deleted; <Jan. 26, 2012>",4. 삭제 <2012. 1. 26.>
문화ㆍ공보,출판문화산업 진흥법,(3) The following amendment shall be made to the Juvenile Protection Act: Article 45 shall be deleted.,③ 생략
문화ㆍ공보,한국4에이치활동 지원법,"[This Article Newly Inserted on Feb. 11, 2020]",[본조신설 2020. 2. 11.]
문화ㆍ공보,한국4에이치활동 지원법,"[This Article Newly Inserted on Feb. 11, 2020]",[본조신설 2020. 2. 11.]
문화ㆍ공보,한국전통문화대학교 설치법,"(6) Deleted. <Jun. 12, 2018>",② 삭제 <2018. 6. 12.>
문화ㆍ공보,한국전통문화대학교 설치법,(2) Omitted.,② 생략
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 13338, Jun. 22, 2015]",[본조신설 2015. 6. 22.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 13338, Jun. 22, 2015]",[본조신설 2015. 6. 22.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 13207, Mar. 11, 2015]",[본조신설 2015. 3. 11.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 16010, Dec. 24, 2018]",[본조신설 2018. 12. 24.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,1. Objectives;,1. 목적
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,2. Name;,2. 명칭
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,3. Location;,3. 소재지
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,1. Daegu National Science Museum;,1. 국립대구과학관
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,2. Gwangju National Science Museum;,2. 국립광주과학관
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,1. Objectives;,1. 목적
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,2. Name;,2. 명칭
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 11620, Jan. 23, 2013]",[본조신설 2013. 1. 23.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 11620, Jan. 23, 2013]",[본조신설 2013. 1. 23.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 11620, Jan. 23, 2013]",[본조신설 2013. 1. 23.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 11620, Jan. 23, 2013]",[본조신설 2013. 1. 23.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 11620, Jan. 23, 2013]",[본조신설 2013. 1. 23.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 11620, Jan. 23, 2013]",[본조신설 2013. 1. 23.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 13338, Jun. 22, 2015]",[본조신설 2015. 6. 22.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 11620, Jan. 23, 2013]",[본조신설 2013. 1. 23.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,"[This Article Newly Inserted by Act No. 11620, Jan. 23, 2013]",[본조신설 2013. 1. 23.]
과학ㆍ기술,과학관의 설립·운영 및 육성에 관한 법률,(2) Omitted.,② 생략
과학ㆍ기술,과학기술기본법 시행령,"4. Deleted; <Nov. 19, 2014>",4. 삭제 <2014. 11. 19.>
과학ㆍ기술,과학기술기본법 시행령,"5. Deleted; <Nov. 19, 2014>",5. 삭제 <2014. 11. 19.>
과학ㆍ기술,과학기술기본법 시행령,"6. Deleted. <Nov. 19, 2014>",6. 삭제 <2014. 11. 19.>
과학ㆍ기술,과학기술기본법 시행령,"[This Article Newly Inserted on Mar. 28, 2011]",[본조신설 2011. 3. 28.]
과학ㆍ기술,과학기술기본법 시행령,"[This Article Newly Inserted on Nov. 19, 2014]",[본조신설 2014. 11. 19.]
과학ㆍ기술,과학기술기본법 시행령,"[This Article Newly Inserted on Dec. 10, 2020]",[본조신설 2020. 12. 10.]
과학ㆍ기술,과학기술기본법 시행령,"[This Article Newly Inserted on Nov. 15, 2022]",[본조신설 2022. 11. 15.]
과학ㆍ기술,과학기술기본법 시행령,"[This Article Newly Inserted on Nov. 15, 2022]",[본조신설 2022. 11. 15.]
과학ㆍ기술,과학기술기본법 시행령,"[This Article Newly Inserted on Nov. 15, 2022]",[본조신설 2022. 11. 15.]
과학ㆍ기술,과학기술기본법 시행령,"[This Article Newly Inserted on Jun. 28, 2022]",[본조신설 2022. 6. 28.]
과학ㆍ기술,과학기술기본법 시행령,"[This Article Newly Inserted on Mar. 28, 2011]",[본조신설 2011. 3. 28.]
과학ㆍ기술,과학기술기본법 시행령,"[This Article Newly Inserted on Mar. 28, 2011]",[본조신설 2011. 3. 28.]
과학ㆍ기술,과학기술기본법 시행령,"5. Deleted; <Apr. 17, 2018>",5. 삭제 <2018. 4. 17.>
과학ㆍ기술,과학기술기본법 시행령,"6. Deleted. <Apr. 17, 2018>",6. 삭제 <2018. 4. 17.>
과학ㆍ기술,과학기술기본법 시행령,"(1) Deleted. <Nov. 19, 2014>",① 삭제 <2014. 11. 19.>
과학ㆍ기술,과학기술기본법 시행령,"[This Article Newly Inserted on Sep. 24, 2021]",[본조신설 2021. 9. 24.]
과학ㆍ기술,과학기술기본법 시행령,"[This Article Newly Inserted on Sep. 24, 2021]",[본조신설 2021. 9. 24.]
